"","NATCODE","COD_INE","PROVINCIA","MUN_NAME","POBLACION_MUNI","Area..km2.","POBLACION_CAPITAL","CAI_num","X2020_indGini","X2020_indP80.P20","X2020_indUnitCons.60.","X2020_income_mean_HH","X2020_income_mean_PP","Popul.Density..peopl.km2.","population_log","PV.20kw.capacity","PV.20kw.units","tot_units_PV","tot_cap_PV","cap_PV.20kW","wind.onshore","cogenNG.B_OilCoal","solar_therm","HP_gen","hydro.10MW","hydro.10MW.1","cogenWastBio","other_pow_plans","PoorHousing.","VulnerableAge.","Unemployed.","HigherEdu.","LowEdu.","X2021_POBLACION_MUNI","X..male","X..female","gender.ratio..m.f.","hydro_total","Renewable_profile","Income_level_PP","CCAA","Con_CAI"
"1655",34070909418,9418,"Burgos","Valles de Palenzuela",81,20.871487,81,NA,28.872,NA,NA,28075.6594,14981,3.88089262638546,1.90848501887865,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.275,0.48,0.194805194805195,0.701298701298701,80,48.75,51.25,"0.9512195121951219",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1656",34070909419,9419,"Burgos","Valluércanes",67,27.950243,67,NA,28.872,NA,NA,28075.6594,14981,2.39711690520902,1.82607480270083,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0.373134328358209,0.492537313432836,0.194029850746269,0.716417910447761,67,67.1641791044776,32.8358208955224,"2.0454545454545454",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1657",34070909421,9421,"Burgos","La Vid y Barrios",260,37.580523,99,NA,27.8,2.5,NA,28726,13412,6.9184774251279,2.41497334797082,0,0,1,100000,100000,0,0,0,0,2343000,0,0,0,2,0.406593406593407,0.551587301587302,0.225296442687747,0.616600790513834,273,58.974358974359,41.025641025641,"1.4375",2343000,"Hydro","Medium Income","Castilla y León","Sin CAIs"
"1658",34070909422,9422,"Burgos","La Vid de Bureba",24,9.742977,24,NA,28.872,NA,NA,28075.6594,14981,2.46331280470025,1.38021124171161,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.473684210526316,NA,NA,NA,19,57.8947368421053,42.1052631578947,"1.375",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1659",34070909423,9423,"Burgos","Vileña",25,6.348098,25,NA,28.872,NA,NA,28075.6594,14981,3.93818746969565,1.39794000867204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308,NA,NA,NA,26,61.5384615384615,38.4615384615385,"1.6",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1660",34070909424,9424,"Burgos","Viloria de Rioja",37,6.947177,37,NA,28.8769,NA,NA,28075.0868,14981,5.32590432056071,1.568201724067,0,0,1,30800,30800,0,0,0,0,0,0,0,0,65,0.473684210526316,NA,NA,NA,38,60.5263157894737,39.4736842105263,"1.5333333333333334",0,"Solar PV","Medium Income","Castilla y León","Sin CAIs"
"1661",34070909425,9425,"Burgos","Vilviestre del Pinar",528,33.897452,528,NA,27.2,2.5,14.4,27564,12610,15.576391995481,2.72263392253381,20000,1,3,305000,285000,0,0,0,0,0,0,0,0,10,0.405660377358491,0.59251968503937,0.0334645669291339,NA,530,55.6603773584906,44.3396226415094,"1.2553191489361701",0,"Solar PV","Medium Income","Castilla y León","Sin CAIs"
"1662",34070909427,9427,"Burgos","Villadiego",1478,327.962154,854,NA,29.1,2.6,13.7,30255,14636,4.50661755319487,3.16967443405881,38000,2,12,594330,556330,62500000,0,0,0,0,0,0,0,14.2380261248186,0.412121212121212,0.551152737752161,0.0308464849354376,0.00215208034433285,1485,55.6228956228956,44.3771043771044,"1.2534142640364188",0,"Wind Onshore","Medium Income","Castilla y León","Sin CAIs"
"1663",34070909428,9428,"Burgos","Villaescusa de Roa",100,17.499747,100,NA,28.872,NA,NA,28075.6594,14981,5.71436832772497,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.525773195876289,0.56989247311828,0.236559139784946,0.634408602150538,97,55.6701030927835,44.3298969072165,"1.255813953488372",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1664",34070909429,9429,"Burgos","Villaescusa la Sombría",57,16.244877,18,NA,28.872,NA,NA,28075.6594,14981,3.50879849690459,1.75587485567249,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.368421052631579,0.421052631578947,0.245614035087719,0.578947368421053,57,75.4385964912281,24.5614035087719,"3.0714285714285716",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1665",34070909430,9430,"Burgos","Villaespasa",28,19.494494,21,NA,28.872,NA,NA,28075.6594,14981,1.43630298893626,1.44715803134222,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.518518518518518,NA,NA,NA,27,59.2592592592593,40.7407407407407,"1.4545454545454546",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1666",34070909431,9431,"Burgos","Villafranca Montes de Oca",116,52.453482,114,NA,32.7,2.3,NA,33800,18107,2.21148331010704,2.06445798922692,0,0,0,0,0,30400000,0,0,0,0,0,0,0,0,0.460176991150442,0.596330275229358,0.275229357798165,0.596330275229358,113,60.1769911504425,39.8230088495575,"1.511111111111111",0,"Wind Onshore","High Income","Castilla y León","Sin CAIs"
"1667",34070909432,9432,"Burgos","Villafruela",154,52.00845,154,NA,26.6,2,NA,20670,10827,2.96105728972888,2.18752072083646,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.384615384615385,0.515527950310559,0.166666666666667,0.697530864197531,169,59.7633136094675,40.2366863905325,"1.4852941176470589",0,"None","Low Income","Castilla y León","Sin CAIs"
"1668",34070909433,9433,"Burgos","Villagalijo",52,22.065842,26,NA,28.872,NA,NA,28075.6594,14981,2.35658353757813,1.7160033436348,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.448275862068966,0.589285714285714,0.214285714285714,0.535714285714286,58,58.6206896551724,41.3793103448276,"1.4166666666666667",0,"None","Medium Income","Castilla y León","Sin CAIs"
"1669",34070909434,9434,"Burgos","Villagonzalo Pedernales",1856,13.8174,1856,NA,23.4,2,9.5,38233,13126,134.323389349661,3.26857797188284,40000,2,0,340000,300000,0,0,0,0,0,0,0,0,1,0.257034632034632,0.361169102296451,0.0593856655290102,0.0109215017064846,1848,52.7597402597403,47.2402597402597,"1.1168384879725086",0,"Solar PV","Medium Income","Castilla y León","Sin CAIs"
"1670",34070909437,9437,"Burgos","Villahoz",299,50.53257,297,NA,29.5,2.8,NA,31990,15386,5.91697592265741,2.47567118832443,0,0,0,0,0,0,0,0,0,490000,0,0,0,4,0.409722222222222,0.556363636363636,0.339350180505415,0.498194945848375,288,52.4305555555556,47.5694444444444,"1.102189781021898",490000,"Hydro","Medium Income","Castilla y León","Sin CAIs"
"1671",34070909438,9438,"Burgos","Villalba de Duero",714,13.75281,632,NA,26.1,2.4,11.2,41420,14636,51.916662849265,2.85369821177617,0,0,8,384200,384200,0,0,0,0,540000,0,0,0,3,0.261735419630156,0.422512234910277,0.0771704180064309,0.00643086816720257,703,52.6315789473684,47.3684210526316,"1.1111111111111112",540000,"Hydro","Medium Income","Castilla y León","Sin CAIs"
